huc,name,reason
1807010700,"San Nicholas Island - Santa Catalina Island",island
1806001401,"San Miguel Island - Santa Rosa Island",island
1805000506,"Farallon Islands",island
1710031206,"Mack Arch Cove-Pacific Ocean",island
1807030513,"Tijuana River - Frontal Pacific Ocean",mexico
1807030512,"Lower Cottonwood Creek",mexico
1807030506,"Lower Rio De Las Palmas",mexico
1807030507,"Arroyo Florido",mexico
1807030511,"Tecate Creek",mexico
1807030505,"Arroyo Seco",mexico
1807030503,"Arroyo De La Cienaga",mexico
1810020202,"Upper Carrizo Creek",mexico
1810020409,"Pinto Wash",mexico
1810020411,"New River",mexico
1807030504,"Upper Rio De Las Palmas",mexico
1807030501,"El Beltran",mexico
1807030502,"Arroyo De Las Calabazas",mexico
1810020407,"Mesa Andrade",mexico
1503010702,"Colorado River",mexico
1810020408,"Alamo River",mexico
1503010703,"",mexico
1503010704,"",mexico
1503010705,"",mexico
1503010706,"",mexico
