,hucid,states
15156,1801020410,CA
15157,1801010804,CA
15158,1801020503,"CA,OR"
15159,1801010603,CA
15160,1801020703,CA
15161,1801020611,CA
15162,1801020701,CA
15163,1801010703,CA
15164,1801020610,CA
15165,1801011008,CA
15166,1801010808,CA
15167,1801020702,CA
15168,1807030506,MX
15169,1807030503,MX
15170,1807030504,MX
15171,1807030507,MX
15172,1807030501,MX
15173,1807030502,MX
15174,1801011004,CA
15175,1801010809,CA
15176,1801011003,CA
15177,1801010806,CA
15178,1809020805,CA
15179,1804001004,CA
15180,1810010032,CA
15181,1810010038,CA
15182,1802012805,CA
15183,1810010033,CA
15184,1810010039,CA
15185,1805000603,CA
15186,1810010047,CA
15187,1810010044,CA
15188,1810010045,CA
15189,1804000604,CA
15190,1809020409,CA
15191,1804001304,CA
15192,1803001220,CA
15193,1810020410,"CA,MX"
15194,1809020315,CA
15195,1804000602,CA
15196,1802015101,CA
15197,1807010503,CA
15198,1802015403,CA
15199,1801010508,CA
15200,1807030401,CA
15201,1804001002,CA
15202,1807020302,CA
15203,1802000207,CA
15204,1803000301,CA
15205,1809020101,CA
15206,1804000914,CA
15207,1802012907,CA
15208,1809020318,CA
15209,1801020202,OR
15210,1810010019,CA
15211,1810010007,CA
15212,1810010023,CA
15213,1809020616,CA
15214,1809020806,CA
15215,1809020820,CA
15216,1802010410,CA
15217,1801010301,CA
15218,1810020401,CA
15219,1803000909,CA
15220,1807030406,CA
15221,1803000508,CA
15222,1806001001,CA
15223,1803000701,CA
15224,1802012803,CA
15225,1802012204,CA
15226,1802012804,CA
15227,1802000312,CA
15228,1802000403,CA
15229,1804001209,CA
15230,1804001203,CA
15231,1801020301,OR
15232,1804000107,CA
15233,1801010702,CA
15234,1801010803,CA
15235,1801020608,CA
15236,1810010031,CA
15237,1810020407,"CA,MX"
15238,1802010411,CA
15239,1802015904,CA
15240,1809020819,CA
15241,1802000206,CA
15242,1809020406,CA
15243,1805000209,CA
15244,1804001306,CA
15245,1805000206,CA
15246,1805000503,CA
15247,1801020408,OR
15248,1802012506,CA
15249,1804000119,CA
15250,1809020818,CA
15251,1809020506,CA
15252,1801021103,CA
15253,1802012201,CA
15254,1807030302,CA
15255,1801010302,CA
15256,1803001003,CA
15257,1805000401,CA
15258,1809010301,CA
15259,1802000401,CA
15260,1809020319,CA
15261,1801021108,CA
15262,1802010409,CA
15263,1809020512,CA
15264,1806000203,CA
15265,1804001001,CA
15266,1807030202,CA
15267,1803000604,CA
15268,1801020909,CA
15269,1803000205,CA
15270,1807020100,CA
15271,1804000109,CA
15272,1802012501,CA
15273,1805000409,CA
15274,1801010101,"CA,OR"
15275,1809020211,NV
15276,1801010511,CA
15277,1806000302,CA
15278,1803000310,CA
15279,1809020204,NV
15280,1809020307,CA
15281,1804000905,CA
15282,1809020312,CA
15283,1801020204,OR
15284,1801021004,CA
15285,1803001217,CA
15286,1804001211,CA
15287,1801020910,CA
15288,1806000401,CA
15289,1802015905,CA
15290,1802015103,CA
15291,1805000101,CA
15292,1802000311,CA
15293,1805000208,CA
15294,1802010403,CA
15295,1809020602,CA
15296,1803000403,CA
15297,1808000203,CA
