areaacres,areasqkm,states,huc10,name
77560.000000000000000,313.882638100000008,CA,1802000501,Wagon Creek-Sacramento River
76440.000000000000000,309.347886270000004,CA,1801020805,Indian Creek-Scott River
107154.000000000000000,433.646951699999988,CA,1804001004,Lower Middle Fork Stanislaus River
129103.000000000000000,522.471513920000007,CA,1809020305,Mesquite Flat
212043.000000000000000,858.126156260000016,CA,1804000108,Root Creek-San Joaquin River
142274.000000000000000,575.773777129999985,"CA,OR",1710030901,Headwaters Applegate River
98281.000000000000000,397.737867909999977,CA,1804000305,Fivemile Creek-San Joaquin River
85338.000000000000000,345.359095949999983,CA,1809020406,Pilot Knob Valley
56965.000000000000000,230.532724800000011,CA,1803000904,Dry Creek
76569.000000000000000,309.869989780000026,CA,1801010801,Ten Mile River
249239.000000000000000,1008.656298829999969,CA,1808000202,Van Loan Creek-Madeline Plains
81712.000000000000000,330.682716340000013,CA,1803001209,West Side Canal
319987.000000000058208,1294.968204560000004,CA,1809010207,Big Pine Creek-Owens River
116372.000000000000000,470.949757009999985,CA,1801020410,Tule Lake
201196.000000000000000,814.227319930000021,CA,1810020106,Upper Whitewater River
99589.000000000000000,403.032518250000010,CA,1803000311,Tecuya Creek-Frontal Kern Lake Bed
92491.000000000000000,374.305540609999980,CA,1810020301,Clark Valley
39365.000000000000000,159.306475820000003,CA,1802015205,Cold Fork
61717.000000000000000,249.767122250000000,CA,1801010301,Rice Fork
239018.000000000000000,967.293355870000028,CA,1810010037,Browns Wash-Cadiz Lake
209553.000000000000000,848.047377910000023,CA,1810010043,Tank Spring-Rice Valley
62220.000000000000000,251.800828810000013,CA,1802012805,Lower Middle Fork American River
40264.000000000000000,162.946705949999995,CA,1803000605,Lewis Creek
73164.000000000000000,296.088752370000009,CA,1802012604,Dry Creek
100459.000000000000000,406.551305800000023,CA,1801010603,Middle South Fork Eel River
45916.000000000000000,185.820692879999996,CA,1802012207,Greenhorn Creek
48929.000000000000000,198.013094480000007,CA,1810010014,Surprise Springs-Deadman Lake
43390.000000000000000,175.595832129999991,CA,1807030503,Lower Cottonwood Creek
107190.000000000000000,433.792827649999992,CA,1803000101,Rock Creek-Kern River
193040.000000000000000,781.221732670000051,CA,1809010106,Adobe Valley
162789.000000000000000,658.796617210000022,CA,1801011007,Mark West Creek
169308.000000000000000,685.180311989999950,CA,1809020817,Cronise Valley
63365.000000000000000,256.436559579999994,CA,1802011505,North Fork Stony Creek
229832.000000000000000,930.118610640000043,CA,1809020711,Harper Lake
128282.000000000000000,519.151747409999984,CA,1809020217,Greenwater Valley
142909.000000000000000,578.343397249999953,CA,1804001103,Calaveras River
196464.000000000000000,795.077134620000038,CA,1804000204,Salado Creek-San Joaquin River
74833.000000000000000,302.846898119999992,CA,1801021101,Coffee Creek
61522.000000000000000,248.977782139999988,CA,1802000302,Beaver Creek
61513.000000000000000,248.941044320000003,OR,1710031102,Sucker Creek
242968.000000000000000,983.276402250000046,CA,1810010020,Lava Hills
55363.000000000000000,224.052610429999987,CA,1809020511,Poison Canyon
46592.000000000000000,188.554861700000004,CA,1807010202,Bouquet Canyon
55542.000000000000000,224.773838180000013,CA,1802016205,Lower Putah Creek
63425.000000000000000,256.677659469999981,CA,1805000401,Arroyo Hondo
65736.000000000000000,266.031103389999998,CA,1802011605,Bear Creek
81655.000000000000000,330.454232240000010,CA,1804000910,Big Creek-Tuolumne River
51439.000000000000000,208.169796249999990,CA,1810020410,Hidden Springs Canyon-Frontal Salton Sea
84585.000000000000000,342.312523520000013,CA,1802000311,Roaring Creek-Pit River
228925.000000000000000,926.446391779999999,CA,1605030101,Headwaters East Walker River
167182.000000000000000,676.575416560000008,CA,1806000508,Indian Valley-Salinas River
110421.000000000000000,446.868949910000026,CA,1809020809,Buckthorn Wash-Mojave River
115008.000000000000000,465.431225530000006,CA,1806000514,Stonewall Creek-Salinas River
95715.000000000000000,387.354274750000002,CA,1802015103,Little Cow Creek
219458.000000000000000,888.135551490000012,CA,1606001512,Town of Ivanpah-Frontal Ivanpah Lake
86830.000000000000000,351.396029849999991,CA,1807030303,Lower San Luis Rey River
159120.000000000000000,643.950000270000032,CA,1810010031,Upper Watson Wash
103261.000000000000000,417.892567509999992,CA,1803000508,Town of Richgrove-Town of Allensworth
60256.000000000000000,243.854381139999987,CA,1807030404,Poway Creek
90831.000000000000000,367.587042429999997,CA,1801010807,Pudding Creek-Frontal Pacific Ocean
61758.000000000000000,249.929827350000011,CA,1805000209,Corte Madera Creek-Frontal San Fransisco Bay Estuaries
95274.000000000000000,385.566870010000002,CA,1809020502,Airport Lake
80294.000000000000000,324.944827260000011,CA,1802016103,Pleasant Grove Creek-Cross Canal
198390.000000000000000,802.874127469999962,CA,1807010301,Calleguas Creek
173914.000000000000000,703.821710260000032,CA,1810020404,Deer Peak
69562.000000000000000,281.514957970000012,CA,1801020907,Rock Creek-Klamath River
76785.000000000000000,310.745053050000024,CA,1803001203,Warthan Creek
114328.000000000000000,462.679700900000000,CA,1806000403,Lower San Juan Creek
135807.000000000000000,549.603616729999999,CA,1803000404,Lower Poso Creek
88542.000000000000000,358.324293689999990,CA,1801010104,Smith River
60596.000000000000000,245.229182780000002,CA,1804001206,Upper Dry Creek
69649.000000000000000,281.865360559999999,CA,1801020609,Beaver Creek
166710.000000000000000,674.666820450000046,CA,1801020910,Tectah Creek-Klamath River
154485.000000000000000,625.193014299999959,CA,1810020401,Indain Wash-American Girl Wash
116003.000000000000000,469.458762420000028,CA,1503010106,Lower Chemehuevi Wash
